10.58.180.231 - - [28/Apr/2015:01:04:48 -0700] "GET /jenkins/static/2198f1f6/images/48x48/document.png HTTP/1.1" 200 745
10.58.180.231 - - [28/Apr/2015:01:04:48 -0700] "GET /jenkins/static/2198f1f6/images/48x48/clipboard.png HTTP/1.1" 200 1537
10.58.180.231 - - [28/Apr/2015:01:04:48 -0700] "GET /jenkins/static/2198f1f6/images/48x48/monitor.png HTTP/1.1" 200 3395
10.58.180.231 - - [28/Apr/2015:01:04:48 -0700] "GET /jenkins/static/2198f1f6/images/48x48/help.png HTTP/1.1" 200 3351
10.58.180.231 - - [28/Apr/2015:01:04:50 -0700] "GET /jenkins/pluginManager HTTP/1.1" 302 -
10.58.180.231 - - [28/Apr/2015:01:04:50 -0700] "GET /jenkins/pluginManager/ HTTP/1.1" 200 4656
10.58.180.231 - - [28/Apr/2015:01:04:50 -0700] "GET /jenkins/adjuncts/2198f1f6/hudson/PluginManager/_table.css HTTP/1.1" 200 157
10.58.180.231 - - [28/Apr/2015:01:04:50 -0700] "GET /jenkins/adjuncts/2198f1f6/hudson/PluginManager/_table.js HTTP/1.1" 200 703
10.58.180.231 - - [28/Apr/2015:01:04:51 -0700] "GET /jenkins/adjuncts/2198f1f6/hudson/PluginManager/search.gif HTTP/1.1" 200 591
10.58.180.231 - - [28/Apr/2015:01:04:51 -0700] "GET /jenkins/static/2198f1f6/images/bottom-sticker-top-edge.png HTTP/1.1" 200 351
10.58.180.231 - - [28/Apr/2015:01:04:53 -0700] "GET /jenkins/pluginManager/installed HTTP/1.1" 200 6132
10.58.180.231 - - [28/Apr/2015:01:05:05 -0700] "GET /jenkins/ HTTP/1.1" 200 8907
10.58.180.231 - - [28/Apr/2015:01:05:09 -0700] "GET /jenkins/job/MyTest/ HTTP/1.1" 200 4596
10.58.180.231 - - [28/Apr/2015:01:05:09 -0700] "GET /jenkins/static/2198f1f6/images/24x24/search.png HTTP/1.1" 200 1309
10.58.180.231 - - [28/Apr/2015:01:05:09 -0700] "GET /jenkins/static/2198f1f6/images/24x24/folder.png HTTP/1.1" 200 922
10.58.180.231 - - [28/Apr/2015:01:05:09 -0700] "GET /jenkins/static/2198f1f6/images/24x24/edit-delete.png HTTP/1.1" 200 1236
