10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/dom/dom-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/event/event-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/animation/animation-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/container/container-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/connection/connection-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/datasource/datasource-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/menu/menu-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/container/assets/container.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/assets/skins/sam/skin.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:12 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/button/assets/skins/sam/button.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/adjuncts/e00ea7d9/lib/layout/breadcrumbs.css HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/element/element-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/button/button-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/storage/storage-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/scripts/hudson-behavior.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/scripts/sortable.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/scripts/yui/cookie/cookie-min.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/adjuncts/e00ea7d9/lib/layout/breadcrumbs.js HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/images/headshot.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/images/title.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/images/16x16/help.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/images/24x24/notepad.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/images/24x24/setting.png HTTP/1.1" 304 -
10.58.180.73 - - [03/Dec/2017:19:05:13 -0800] "GET /jenkins/static/e00ea7d9/images/16x16/collapse.png HTTP/1.1" 304 -
